File, M, N, Makespan, Sorted
N_10000_1.txt, 100, 10000, 4013, false
N_10000_2.txt, 100, 10000, 3989, false
N_10000_3.txt, 100, 10000, 4001, false
N_10000_4.txt, 100, 10000, 4046, false
N_10000_5.txt, 100, 10000, 3994, false
N_10000_6.txt, 100, 10000, 4011, false
N_10000_7.txt, 100, 10000, 3994, false
N_10000_8.txt, 100, 10000, 4014, false
N_10000_9.txt, 100, 10000, 4009, false
N_10000_10.txt, 100, 10000, 4017, false
N_25000_1.txt, 158, 25000, 6327, false
N_25000_2.txt, 158, 25000, 6278, false
N_25000_3.txt, 158, 25000, 6323, false
N_25000_4.txt, 158, 25000, 6327, false
N_25000_5.txt, 158, 25000, 6320, false
N_25000_6.txt, 158, 25000, 6312, false
N_25000_7.txt, 158, 25000, 6317, false
N_25000_8.txt, 158, 25000, 6320, false
N_25000_9.txt, 158, 25000, 6303, false
N_25000_10.txt, 158, 25000, 6343, false
N_50000_1.txt, 223, 50000, 8868, false
N_50000_2.txt, 223, 50000, 8876, false
N_50000_3.txt, 223, 50000, 8929, false
N_50000_4.txt, 223, 50000, 8964, false
N_50000_5.txt, 223, 50000, 8889, false
N_50000_6.txt, 223, 50000, 8910, false
N_50000_7.txt, 223, 50000, 8894, false
N_50000_8.txt, 223, 50000, 8916, false
N_50000_9.txt, 223, 50000, 8928, false
N_50000_10.txt, 223, 50000, 8879, false
N_10000_1.txt, 100, 10000, 3969, true
N_10000_2.txt, 100, 10000, 3940, true
N_10000_3.txt, 100, 10000, 3954, true
N_10000_4.txt, 100, 10000, 4006, true
N_10000_5.txt, 100, 10000, 3946, true
N_10000_6.txt, 100, 10000, 3971, true
N_10000_7.txt, 100, 10000, 3952, true
N_10000_8.txt, 100, 10000, 3966, true
N_10000_9.txt, 100, 10000, 3967, true
N_10000_10.txt, 100, 10000, 3966, true
N_25000_1.txt, 158, 25000, 6284, true
N_25000_2.txt, 158, 25000, 6232, true
N_25000_3.txt, 158, 25000, 6278, true
N_25000_4.txt, 158, 25000, 6273, true
N_25000_5.txt, 158, 25000, 6276, true
N_25000_6.txt, 158, 25000, 6264, true
N_25000_7.txt, 158, 25000, 6268, true
N_25000_8.txt, 158, 25000, 6270, true
N_25000_9.txt, 158, 25000, 6253, true
N_25000_10.txt, 158, 25000, 6292, true
N_50000_1.txt, 223, 50000, 8820, true
N_50000_2.txt, 223, 50000, 8831, true
N_50000_3.txt, 223, 50000, 8883, true
N_50000_4.txt, 223, 50000, 8918, true
N_50000_5.txt, 223, 50000, 8845, true
N_50000_6.txt, 223, 50000, 8862, true
N_50000_7.txt, 223, 50000, 8844, true
N_50000_8.txt, 223, 50000, 8868, true
N_50000_9.txt, 223, 50000, 8881, true
N_50000_10.txt, 223, 50000, 8830, true
